,precision,recall,f1-score,support
0,0.8235294117647058,0.9333333333333333,0.875,15.0
1,0.8620689655172413,0.8064516129032258,0.8333333333333334,31.0
2,0.2857142857142857,0.14285714285714285,0.19047619047619047,14.0
3,0.52,0.48148148148148145,0.5,27.0
4,0.6078431372549019,0.7209302325581395,0.6595744680851063,43.0
5,0.5714285714285714,0.4,0.47058823529411764,20.0
6,0.6470588235294118,0.6875,0.6666666666666666,32.0
7,0.6428571428571429,0.72,0.6792452830188679,25.0
8,0.9032258064516129,0.9655172413793104,0.9333333333333333,29.0
accuracy,0.6822033898305084,0.6822033898305084,0.6822033898305084,0.6822033898305084
macro avg,0.6515251271686526,0.6508967827236259,0.6453575011341796,236.0
weighted avg,0.6680244269046771,0.6822033898305084,0.6706762665636171,236.0
