,precision,recall,f1-score,support
0,0.875,0.9333333333333333,0.9032258064516129,15.0
1,0.7333333333333333,0.7096774193548387,0.7213114754098361,31.0
2,0.2,0.21428571428571427,0.20689655172413793,14.0
3,0.7142857142857143,0.18518518518518517,0.29411764705882354,27.0
4,0.5873015873015873,0.8604651162790697,0.6981132075471698,43.0
5,0.3157894736842105,0.3,0.3076923076923077,20.0
6,0.32432432432432434,0.375,0.34782608695652173,32.0
7,0.6818181818181818,0.6,0.6382978723404256,25.0
8,0.9259259259259259,0.8620689655172413,0.8928571428571429,29.0
accuracy,0.5889830508474576,0.5889830508474576,0.5889830508474576,0.5889830508474576
macro avg,0.5953087267414753,0.5600017482172648,0.5567042331153309,236.0
weighted avg,0.60927750051858,0.5889830508474576,0.575848406108289,236.0
