,precision,recall,f1-score,support
0,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
1,0.7647058823529411,0.8387096774193549,0.8,31.0
2,0.0,0.0,0.0,14.0
3,0.6666666666666666,0.14814814814814814,0.24242424242424243,27.0
4,0.5211267605633803,0.8604651162790697,0.6491228070175439,43.0
5,0.5,0.1,0.16666666666666666,20.0
6,0.39622641509433965,0.65625,0.49411764705882355,32.0
7,0.56,0.56,0.56,25.0
8,0.9642857142857143,0.9310344827586207,0.9473684210526315,29.0
accuracy,0.614406779661017,0.614406779661017,0.614406779661017,0.614406779661017
macro avg,0.5895938635884862,0.5586600842153919,0.5325592352836935,236.0
weighted avg,0.6049062036206404,0.614406779661017,0.5672733792243685,236.0
