,precision,recall,f1-score,support
0,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
1,0.8125,0.8387096774193549,0.8253968253968254,31.0
2,0.25,0.07142857142857142,0.1111111111111111,14.0
3,0.6,0.2222222222222222,0.32432432432432434,27.0
4,0.5538461538461539,0.8372093023255814,0.6666666666666666,43.0
5,0.6,0.15,0.24,20.0
6,0.5,0.75,0.6,32.0
7,0.6428571428571429,0.72,0.6792452830188679,25.0
8,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
accuracy,0.6567796610169492,0.6567796610169492,0.6567796610169492,0.6567796610169492
macro avg,0.6470634569772501,0.6059930654986315,0.5901235585121944,236.0
weighted avg,0.6515860728254795,0.6567796610169492,0.6209636128887808,236.0
