,precision,recall,f1-score,support
0,0.8235294117647058,0.9333333333333333,0.875,15.0
1,0.8333333333333334,0.8064516129032258,0.819672131147541,31.0
2,0.3333333333333333,0.07142857142857142,0.11764705882352941,14.0
3,0.6,0.3333333333333333,0.42857142857142855,27.0
4,0.576271186440678,0.7906976744186046,0.6666666666666666,43.0
5,0.4375,0.35,0.3888888888888889,20.0
6,0.5116279069767442,0.6875,0.5866666666666667,32.0
7,0.5769230769230769,0.6,0.5882352941176471,25.0
8,0.9629629629629629,0.896551724137931,0.9285714285714286,29.0
accuracy,0.6483050847457628,0.6483050847457628,0.6483050847457628,0.6483050847457628
macro avg,0.6283868013038705,0.6076995832838887,0.5999910626059773,236.0
weighted avg,0.641117364685078,0.6483050847457628,0.6296845551687379,236.0
