,precision,recall,f1-score,support
Arbitration and Conciliation Act,1.0,0.875,0.9333333333333333,8.0
Consumer Protection Act,1.0,1.0,1.0,19.0
IPC Sec 120B,1.0,0.3181818181818182,0.4827586206896552,22.0
IPC Sec 147,0.8421052631578947,0.6956521739130435,0.7619047619047619,23.0
IPC Sec 302,0.8909090909090909,1.0,0.9423076923076923,49.0
IPC Sec 323,0.9230769230769231,0.32432432432432434,0.48,37.0
IPC Sec 420,1.0,0.8461538461538461,0.9166666666666666,26.0
IPC Sec 498A,0.9565217391304348,0.7096774193548387,0.8148148148148148,31.0
Motor Vehicles Act,1.0,0.95,0.9743589743589743,20.0
micro avg,0.9402173913043478,0.7361702127659574,0.8257756563245824,235.0
macro avg,0.9569570018082604,0.7465543979919856,0.8117938737862109,235.0
weighted avg,0.9439531343577305,0.7361702127659574,0.796272403610628,235.0
samples avg,0.9265536723163842,0.8088512241054613,0.8451977401129945,235.0
