,precision,recall,f1-score,support
0,0.7916666666666666,0.7916666666666666,0.7916666666666666,24.0
1,0.8728323699421965,0.9741935483870968,0.9207317073170732,155.0
2,0.0,0.0,0.0,16.0
3,0.34782608695652173,0.23529411764705882,0.2807017543859649,34.0
4,0.7272727272727273,0.8235294117647058,0.7724137931034483,136.0
5,0.5348837209302325,0.45098039215686275,0.48936170212765956,51.0
6,0.5,0.5245901639344263,0.512,61.0
7,0.7307692307692307,0.5757575757575758,0.6440677966101694,33.0
8,0.9466666666666667,0.9102564102564102,0.9281045751633987,78.0
accuracy,0.7397959183673469,0.7397959183673469,0.7397959183673469,0.7397959183673469
macro avg,0.6057686076893603,0.5873631429523115,0.5932275550415979,588.0
weighted avg,0.7155759346759856,0.7397959183673469,0.7247302569808323,588.0
