,precision,recall,f1-score,support
0,1.0,0.16666666666666666,0.2857142857142857,24.0
1,0.7,0.9935483870967742,0.8213333333333334,155.0
2,0.0,0.0,0.0,16.0
3,0.0,0.0,0.0,34.0
4,0.589622641509434,0.9191176470588235,0.7183908045977011,136.0
5,0.6,0.23529411764705882,0.3380281690140845,51.0
6,0.39655172413793105,0.3770491803278688,0.3865546218487395,61.0
7,1.0,0.09090909090909091,0.16666666666666666,33.0
8,1.0,0.9102564102564102,0.9530201342281879,78.0
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
macro avg,0.5873527072941517,0.410315722218077,0.40774533504477767,588.0
weighted avg,0.6436706367647905,0.6666666666666666,0.599523465937733,588.0
