,precision,recall,f1-score,support
0,1.0,0.4583333333333333,0.6285714285714286,24.0
1,0.8397790055248618,0.9806451612903225,0.9047619047619048,155.0
2,0.0,0.0,0.0,16.0
3,0.6666666666666666,0.058823529411764705,0.10810810810810811,34.0
4,0.6391752577319587,0.9117647058823529,0.7515151515151515,136.0
5,0.5588235294117647,0.37254901960784315,0.4470588235294118,51.0
6,0.45,0.5901639344262295,0.5106382978723404,61.0
7,0.7333333333333333,0.3333333333333333,0.4583333333333333,33.0
8,0.9714285714285714,0.8717948717948718,0.918918918918919,78.0
accuracy,0.7193877551020408,0.7193877551020408,0.7193877551020408,0.7193877551020408
macro avg,0.6510229293441285,0.5086008765644502,0.5253228851789553,588.0
weighted avg,0.7137443471870667,0.7193877551020408,0.6835972068901943,588.0
