,precision,recall,f1-score,support
0,0.9,0.75,0.8181818181818182,24.0
1,0.8514285714285714,0.9612903225806452,0.9030303030303031,155.0
2,0.5,0.0625,0.1111111111111111,16.0
3,0.45454545454545453,0.14705882352941177,0.2222222222222222,34.0
4,0.7452229299363057,0.8602941176470589,0.7986348122866894,136.0
5,0.5909090909090909,0.5098039215686274,0.5473684210526316,51.0
6,0.42857142857142855,0.5409836065573771,0.4782608695652174,61.0
7,0.6785714285714286,0.5757575757575758,0.6229508196721312,33.0
8,0.9459459459459459,0.8974358974358975,0.9210526315789473,78.0
accuracy,0.7448979591836735,0.7448979591836735,0.7448979591836735,0.7448979591836735
macro avg,0.677243872212025,0.5894582516751771,0.6025347787445635,588.0
weighted avg,0.7327077452434919,0.7448979591836735,0.7262634578909598,588.0
